NodoDa;NodoA;AGV;TotaleConsumoNodo;Cont;MediaConsumoNodo;ConsumoMin;ConsumoMax;
569;570;4;0,502;54;0,0093;0,006;0,012;
569;570;6;0,011;1;0,011;0,011;0,011;
569;590;2;0,107;7;0,01529;0,013;0,019;
570;569;2;0,615;24;0,02563;0,007;0,381;
570;569;4;0,453;54;0,00839;0,006;0,018;
570;569;5;0,012;1;0,012;0,012;0,012;
570;569;6;0,012;2;0,006;0,004;0,008;
570;571;2;0,219;19;0,01153;0,005;0,028;
570;571;4;0,503;53;0,00949;0,004;0,028;
570;571;6;0,02;1;0,02;0,02;0,02;
570;574;2;0,024;1;0,024;0,024;0,024;
570;589;2;0,132;4;0,033;0,011;0,09;
570;589;4;0,064;4;0,016;0,015;0,017;
570;589;5;-8,962;1;-8,962;-8,962;-8,962;
570;589;6;0,016;1;0,016;0,016;0,016;
571;570;2;0,324;18;0,018;0,012;0,022;
571;570;4;0,862;52;0,01658;0,014;0,023;
571;570;6;0,02;1;0,02;0,02;0,02;
571;572;2;0,562;22;0,02555;0,009;0,129;
571;572;4;0,492;53;0,00928;0,004;0,013;
571;572;6;0,031;1;0,031;0,031;0,031;
571;588;2;0,049;3;0,01633;0,014;0,018;
572;570;2;0,13;2;0,065;0,032;0,098;
572;571;2;1,427;20;0,07135;0,01;0,481;
572;571;4;-0,396;52;-0,00762;-37,415;27,99;
572;571;6;0,012;1;0,012;0,012;0,012;
572;573;2;0,224;8;0,028;0,023;0,034;
572;573;4;0,87;4;0,2175;0,025;0,789;
572;573;6;0,055;1;0,055;0,055;0,055;
573;572;2;0,342;8;0,04275;0,022;0,172;
573;572;4;0,182;3;0,06067;0,021;0,139;
573;572;6;0,032;1;0,032;0,032;0,032;
573;574;2;0,14;8;0,0175;0,01;0,053;
573;574;4;0,059;4;0,01475;0,011;0,019;
573;574;6;0,019;1;0,019;0,019;0,019;
573;575;2;0,081;1;0,081;0,081;0,081;
574;573;2;0,081;8;0,01013;0,006;0,029;
574;573;4;0,025;3;0,00833;0,007;0,011;
574;573;6;0,008;1;0,008;0,008;0,008;
574;575;2;0,333;8;0,04163;0,023;0,144;
574;575;4;0,37;4;0,0925;0,023;0,298;
574;575;6;0,061;1;0,061;0,061;0,061;
575;574;2;0,732;142;0,00515;0;0,18;
575;574;4;27,587;3;9,19567;0,06;27,44;
575;574;6;0,075;1;0,075;0,075;0,075;
575;576;2;-6,864;8;-0,858;-7,342;0,254;
575;576;4;0,121;4;0,03025;0,009;0,082;
575;576;6;0,021;1;0,021;0,021;0,021;
576;575;2;7,258;19;0,382;0;6,839;
576;575;4;0,214;6;0,03567;0;0,083;
576;575;6;0,192;3;0,064;0;0,17;
576;577;2;0,527;12;0,04392;0,001;0,153;
576;577;4;0,144;6;0,024;0;0,048;
576;577;5;0,114;1;0,114;0,114;0,114;
577;576;5;0,014;1;0,014;0,014;0,014;
577;578;2;0,606;4;0,1515;0,045;0,454;
