DataOra;Descrizione;UserName;PosizioniAgv;DestAgv;IdMissioneAgv;UDCAgv;Sorgente;
23/10/2019_11:45:47;INSERT_INTO_Missioni_(_ID,_POSPREL_,POSDEP,_ESITO_,GENERATA,TIPOMISSIONE,PRIORITA,AGV,HPREL,HDEP,POSPRELCLIENTE,POSDEPCLIENTE,IdUDC,CodTipoMovimento,CodTipoMissione,EvitaAgv,CodiceArticolo,IdArtUDC,IdCentroMissioni,CodTipoUDC,PianoPrel,PianoDep)_VALUES_(1563,63,52,*CREATE*,GetDate(),0,0,2,1,450,*AGV103D*,*AGV102C*,1,0,5,0,**,0,26173,1,1,1);Server;Pos_:_14_;_63_;_;Dest_:_14_;_63_;_;IdMis_:_0_;_1563_;_;UDC_:_;Server;
23/10/2019_11:45:47;UPDATE_CentroMissioni_SET_stato_=_6_,_Fine_=_GetDate()_where_id_=_26173_,_result_:_1;Server;Pos_:_14_;_63_;_;Dest_:_14_;_63_;_;IdMis_:_0_;_1563_;_;UDC_:_;Server;
23/10/2019_11:45:47;UPDATE_posizioni_SET_chiamata_=_0_where_pos_=_63__;Server;Pos_:_14_;_63_;_;Dest_:_14_;_63_;_;IdMis_:_0_;_1563_;_;UDC_:_;Server;
23/10/2019_11:45:47;UPDATE_posizioni_SET_chiamata_=_0_where_pos_=_52__;Server;Pos_:_14_;_63_;_;Dest_:_14_;_63_;_;IdMis_:_0_;_1563_;_;UDC_:_;Server;
23/10/2019_11:45:47;Missione__1563_elaborata_da_Agv_X_correttamente;Server;Pos_:_14_;_63_;_;Dest_:_14_;_63_;_;IdMis_:_0_;_1563_;_;UDC_:_;Server;
23/10/2019_11:45:50;UPDATE_CentroMissioni_SET_stato_=_stato_+_1__where_id_=_26173_,_result_:_1;Server;Pos_:_14_;_63_;_;Dest_:_14_;_63_;_;IdMis_:_0_;_1563_;_;UDC_:_;Server;
23/10/2019_11:45:50;UPDATE_Missioni_SET_Esito_=_*INIZIATA*_,_Iniziata_=_GetDate(),_Agv_=_2_,_BatteriaIniziale_=_100_where_id_=_1563_,_result_:_1;Server;Pos_:_14_;_63_;_;Dest_:_14_;_63_;_;IdMis_:_0_;_1563_;_;UDC_:_;Server;
23/10/2019_11:45:50;Missione_n起1563_iniziata_da_agv_numero_2;Server;Pos_:_14_;_63_;_;Dest_:_14_;_63_;_;IdMis_:_0_;_1563_;_;UDC_:_;Server;
23/10/2019_11:45:50;Prelievo_missione_1563_eseguito_in_posizione:_63_da_agv_numero_2;Server;Pos_:_14_;_63_;_;Dest_:_14_;_52_;_;IdMis_:_0_;_1563_;_;UDC_:_;Server;
23/10/2019_11:45:50;UPDATE_CentroMissioni_SET_stato_=_stato_+_1__where_id_=_26173_,_result_:_1;Server;Pos_:_14_;_63_;_;Dest_:_14_;_52_;_;IdMis_:_0_;_1563_;_;UDC_:_;Server;
23/10/2019_11:45:50;UPDATE_Missioni_SET_Esito_=_*PRELEVATO*_,_Prelevato_=_GetDate()_where_id_=_1563_,_result_:_1;Server;Pos_:_14_;_63_;_;Dest_:_14_;_52_;_;IdMis_:_0_;_1563_;_;UDC_:_;Server;
23/10/2019_11:45:50;Prenotata_Pos_63,_prenota_:_0;Server;Pos_:_14_;_63_;_;Dest_:_14_;_52_;_;IdMis_:_0_;_1563_;_;UDC_:_;Server;
23/10/2019_11:45:50;Prenotata_Corsia_4,_prenota_:_0;Server;Pos_:_14_;_63_;_;Dest_:_14_;_52_;_;IdMis_:_0_;_1563_;_;UDC_:_;Server;
23/10/2019_11:45:50;Update_piani_set_IdUDC_=_0_where_Pos_=_63_and_piano=_1_res_query_:_1;Server;Pos_:_14_;_63_;_;Dest_:_14_;_52_;_;IdMis_:_0_;_1563_;_;UDC_:_;Server;
23/10/2019_11:45:50;Settato_Corsia_Piena_su_Fila_4,_piena_:_0;Server;Pos_:_14_;_63_;_;Dest_:_14_;_52_;_;IdMis_:_0_;_1563_;_;UDC_:_;Server;
23/10/2019_11:45:50;UPDATE_Corsie_SET_InUsoPrelievo_=_0,_InUsoDeposito_=_1_where_Fila_=_4;Server;Pos_:_14_;_63_;_;Dest_:_14_;_52_;_;IdMis_:_0_;_1563_;_;UDC_:_;Server;
23/10/2019_11:45:50;Settato_Corsia_in_uso_per_prelievo_su_Fila_4,_valore_:_0_in_uso_deposito,_valore_:_1;Server;Pos_:_14_;_63_;_;Dest_:_14_;_52_;_;IdMis_:_0_;_1563_;_;UDC_:_;Server;
23/10/2019_11:45:50;_Setta_RifOrdine__su_Pos_63;Server;Pos_:_14_;_63_;_;Dest_:_14_;_52_;_;IdMis_:_0_;_1563_;_;UDC_:_;Server;
23/10/2019_11:46:02;Missione_1563_completata,_posizione:_52_da_Agv_n起2_peso_ritornato_100;Server;Pos_:_14_;_52_;_;Dest_:_14_;_52_;_;IdMis_:_0_;_1563_;_;UDC_:_;Server;
23/10/2019_11:46:02;UPDATE_CentroMissioni_SET_stato_=_6_,_Fine_=_GetDate()_where_id_=_26173_,_result_:_1;Server;Pos_:_14_;_52_;_;Dest_:_14_;_52_;_;IdMis_:_0_;_1563_;_;UDC_:_;Server;
23/10/2019_11:46:02;UPDATE_Missioni_SET_Esito_=_*COMPLETATA*_,_Fine_=_GetDate(),_BatteriaFinale_=_100_,_Tempo_=_*00:00:12*_where_id_=_1563_,_result_:_1;Server;Pos_:_14_;_52_;_;Dest_:_14_;_52_;_;IdMis_:_0_;_1563_;_;UDC_:_;Server;
23/10/2019_11:46:02;Update_piani_set_IdUDC_=_1_where_Pos_=_52_and_piano=_1_res_query_:_1;Server;Pos_:_14_;_52_;_;Dest_:_14_;_52_;_;IdMis_:_0_;_1563_;_;UDC_:_;Server;
23/10/2019_11:46:02;Prenotata_Pos_52,_prenota_:_0;Server;Pos_:_14_;_52_;_;Dest_:_14_;_52_;_;IdMis_:_0_;_1563_;_;UDC_:_;Server;
23/10/2019_11:46:02;Prenotata_Corsia_3,_prenota_:_0;Server;Pos_:_14_;_52_;_;Dest_:_14_;_52_;_;IdMis_:_0_;_1563_;_;UDC_:_;Server;
23/10/2019_11:46:02;UPDATE_Corsie_SET_InUsoDeposito_=_1,_InUsoPrelievo_=_0,_Vuota_=_0__where_Fila_=_3;Server;Pos_:_14_;_52_;_;Dest_:_14_;_52_;_;IdMis_:_0_;_1563_;_;UDC_:_;Server;
23/10/2019_11:46:02;Settato_Corsia_in_uso_per_deposito_su_Fila_3,_valore_:_1_in_uso_prelievo,_valore_:_0;Server;Pos_:_14_;_52_;_;Dest_:_14_;_52_;_;IdMis_:_0_;_1563_;_;UDC_:_;Server;
23/10/2019_11:46:45;Settato_Selezionata_su_pos_63,_valore_:_0;ClientScorda;Pos_:_14_;_63_;_;Dest_:_14_;_0_;_;IdMis_:_0_;_0_;_;UDC_:_;ClientScorda;
23/10/2019_11:46:45;Settato_Selezionata_su_pos_63,_valore_:_1;ClientScorda;Pos_:_14_;_63_;_;Dest_:_14_;_0_;_;IdMis_:_0_;_0_;_;UDC_:_;ClientScorda;
23/10/2019_11:46:50;Centro_missione_creata_,_result_:_1;ClientScorda;Pos_:_14_;_63_;_;Dest_:_14_;_0_;_;IdMis_:_0_;_0_;_;UDC_:_;ClientScorda;
23/10/2019_11:46:50;UPDATE_posizioni_SET_chiamata_=_1_where_pos_=_63__;ClientScorda;Pos_:_14_;_63_;_;Dest_:_14_;_0_;_;IdMis_:_0_;_0_;_;UDC_:_;ClientScorda;
23/10/2019_11:46:50;Settato_Selezionata_su_pos_63,_valore_:_0;ClientScorda;Pos_:_14_;_63_;_;Dest_:_14_;_0_;_;IdMis_:_0_;_0_;_;UDC_:_;ClientScorda;
23/10/2019_11:46:50;Settato_destinazione_su_fila_4,_valore_:_0;ClientScorda;Pos_:_14_;_63_;_;Dest_:_14_;_0_;_;IdMis_:_0_;_0_;_;UDC_:_;ClientScorda;
23/10/2019_11:46:50;MSGTYPE=AGGIORNATAB|VAL=1|;ClientScorda;Pos_:_14_;_63_;_;Dest_:_14_;_0_;_;IdMis_:_0_;_0_;_;UDC_:_;ClientScorda;
23/10/2019_11:47:03;Settato_Selezionata_su_pos_52,_valore_:_0;ClientScorda;Pos_:_14_;_63_;_;Dest_:_14_;_0_;_;IdMis_:_0_;_0_;_;UDC_:_;ClientScorda;
23/10/2019_11:47:03;Settato_Selezionata_su_pos_52,_valore_:_1;ClientScorda;Pos_:_14_;_63_;_;Dest_:_14_;_0_;_;IdMis_:_0_;_0_;_;UDC_:_;ClientScorda;
23/10/2019_11:47:09;INSERT_INTO_UDC_(IDUDC_,CodUDC,_Stato,IDArtUDC,CodTipoUDC_,Tara,PesoAttuale,_IDAS400)_VALUES_(927,*927*,0,0,1,0,0,0);ClientScorda;Pos_:_14_;_63_;_;Dest_:_14_;_0_;_;IdMis_:_0_;_0_;_;UDC_:_;ClientScorda;
23/10/2019_11:47:09;Centro_missione_creata_,_result_:_1;ClientScorda;Pos_:_14_;_63_;_;Dest_:_14_;_0_;_;IdMis_:_0_;_0_;_;UDC_:_;ClientScorda;
23/10/2019_11:47:09;UPDATE_posizioni_SET_chiamata_=_2_where_pos_=_52__;ClientScorda;Pos_:_14_;_63_;_;Dest_:_14_;_0_;_;IdMis_:_0_;_0_;_;UDC_:_;ClientScorda;
23/10/2019_11:47:09;Settato_Selezionata_su_pos_52,_valore_:_0;ClientScorda;Pos_:_14_;_63_;_;Dest_:_14_;_0_;_;IdMis_:_0_;_0_;_;UDC_:_;ClientScorda;
23/10/2019_11:47:09;Settato_destinazione_su_fila_3,_valore_:_0;ClientScorda;Pos_:_14_;_63_;_;Dest_:_14_;_0_;_;IdMis_:_0_;_0_;_;UDC_:_;ClientScorda;
23/10/2019_11:47:09;Prenotata_Pos_52,_prenota_:_1;Server;Pos_:_14_;_63_;_;Dest_:_14_;_0_;_;IdMis_:_0_;_0_;_;UDC_:_;Server;
23/10/2019_11:47:09;Prenotata_Corsia_3,_prenota_:_1;Server;Pos_:_14_;_63_;_;Dest_:_14_;_0_;_;IdMis_:_0_;_0_;_;UDC_:_;Server;
23/10/2019_11:47:09;Prenotata_Pos_61,_prenota_:_1;Server;Pos_:_14_;_63_;_;Dest_:_14_;_0_;_;IdMis_:_0_;_0_;_;UDC_:_;Server;
23/10/2019_11:47:09;Prenotata_Corsia_4,_prenota_:_1;Server;Pos_:_14_;_63_;_;Dest_:_14_;_0_;_;IdMis_:_0_;_0_;_;UDC_:_;Server;
