Id;PosPrel;Posdep;Priorita;TipoMissione;Generata;Fine;Agv;IDUDC;CodTipoMovimento;CodTipoMissione;CorsiaDeposito;Stato;FilaInCorsiaDeposito;Desc;Descrizione;PianoDep;PianoPrel;HDep;HPrel;CodUDC;NomePosPrel;TipoUDC;NomePosDep;
26405;1002;1010;0;4;22/11/2019_10:03:02;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV102Z___________________________________________;0;;
26406;1002;1010;0;4;22/11/2019_10:03:03;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV102Z___________________________________________;0;;
26407;1002;1010;0;4;22/11/2019_10:03:04;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV102Z___________________________________________;0;;
26408;1002;1010;0;4;22/11/2019_10:03:05;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV102Z___________________________________________;0;;
26409;1002;1010;0;4;22/11/2019_10:03:06;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV102Z___________________________________________;0;;
26410;1002;1010;0;4;22/11/2019_10:03:08;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV102Z___________________________________________;0;;
26411;1002;1010;0;4;22/11/2019_10:03:09;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV102Z___________________________________________;0;;
26412;1002;1010;0;4;22/11/2019_10:03:10;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV102Z___________________________________________;0;;
26413;1002;1010;0;4;22/11/2019_10:03:11;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV102Z___________________________________________;0;;
26414;1001;1010;0;4;22/11/2019_10:03:12;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26415;1001;1010;0;4;22/11/2019_10:03:13;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26416;1001;1010;0;4;22/11/2019_10:03:14;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26417;1001;1010;0;4;22/11/2019_10:03:15;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
