Id;PosPrel;Posdep;Priorita;TipoMissione;Generata;Fine;Agv;IDUDC;CodTipoMovimento;CodTipoMissione;CorsiaDeposito;Stato;FilaInCorsiaDeposito;Desc;Descrizione;PianoDep;PianoPrel;HDep;HPrel;CodUDC;NomePosPrel;TipoUDC;NomePosDep;
26438;1001;1010;0;4;22/11/2019_10:03:39;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26439;1001;1010;0;4;22/11/2019_10:03:40;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26440;1001;1010;0;4;22/11/2019_10:03:41;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26441;1001;1010;0;4;22/11/2019_10:03:42;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26442;1001;1010;0;4;22/11/2019_10:03:43;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26443;1001;1010;0;4;22/11/2019_10:03:44;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26444;1001;1010;0;4;22/11/2019_10:03:45;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26445;1001;1010;0;4;22/11/2019_10:03:46;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26446;1001;1010;0;4;22/11/2019_10:03:48;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26447;1001;1010;0;4;22/11/2019_10:03:49;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26448;1001;1010;0;4;22/11/2019_10:03:50;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26449;1001;1010;0;4;22/11/2019_10:03:51;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26450;1001;1010;0;4;22/11/2019_10:03:52;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26451;1001;1010;0;4;22/11/2019_10:03:53;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26452;1001;1010;0;4;22/11/2019_10:03:54;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26453;1001;1010;0;4;22/11/2019_10:03:55;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26454;1001;1010;0;4;22/11/2019_10:03:56;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
